Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1,Ordenar0,OrdenarM,Ordenar1
4e-07,3e-07,2e-07,5e-07,5e-07,3e-07,1.4e-06,1.2e-06,1e-061.2e-06,1e-06
5e-07,3e-07,3e-07,5e-07,4e-07,4e-07,1.8e-06,1.2e-06,1.2e-061.2e-06,1.2e-06
4e-07,3e-07,2e-07,6e-07,6e-07,5e-07,1.8e-06,1.5e-06,1.5e-061.5e-06,1.5e-06
5e-07,3e-07,2e-07,9e-07,6e-07,7e-07,3e-06,1.7e-06,1.7e-061.7e-06,1.7e-06
3e-07,3e-07,2e-07,8e-07,8e-07,8e-07,1.7e-06,1.8e-06,2e-061.8e-06,2e-06
4e-07,3e-07,2e-07,1e-06,8e-07,9e-07,1.9e-06,2.2e-06,2.3e-062.2e-06,2.3e-06
4e-07,3e-07,2e-07,1.2e-06,1e-06,1e-06,2.1e-06,2.4e-06,2.7e-062.4e-06,2.7e-06
4e-07,3e-07,2e-07,1.5e-06,1.2e-06,1.47e-05,2.4e-06,2.7e-06,2.36e-052.7e-06,2.36e-05
4e-07,3e-07,3e-07,1.6e-06,1.3e-06,1.3e-06,2.7e-06,3.1e-06,3.3e-063.1e-06,3.3e-06
4e-07,2e-07,3e-07,1.9e-06,1.5e-06,1.5e-06,3.1e-06,3.6e-06,5e-063.6e-06,5e-06
4e-07,3e-07,3e-07,2.1e-06,1.8e-06,1.9e-06,3.8e-06,4.2e-06,4.6e-064.2e-06,4.6e-06
4e-07,3e-07,2e-07,2.4e-06,2.3e-06,2.3e-06,4.4e-06,5.2e-06,5.5e-065.2e-06,5.5e-06
4e-07,2e-07,3e-07,2.5e-06,2.6e-06,2.6e-06,5e-06,5.9e-06,6.3e-065.9e-06,6.3e-06
3e-07,3e-07,2e-07,2.9e-06,2.9e-06,2.9e-06,5.6e-06,6.5e-06,7e-066.5e-06,7e-06
4e-07,3e-07,2e-07,2.9e-06,3e-06,3.1e-06,6e-06,7e-06,7.6e-067e-06,7.6e-06
